WAP1;WAP2;WAP3;WAP4;WAP5;WAP6;WAP7;WAP8;WAP9;WAP10;WAP11;WAP12;WAP13;WAP14;WAP15;WAP16;WAP17;WAP18;WAP19;WAP20;WAP21;WAP22;WAP23;WAP24;WAP25;WAP26;WAP27;WAP28;WAP29;WAP30;WAP31;WAP32;WAP33;WAP34;WAP35;WAP36;WAP37;Latitude;Longitude;Timestamp;Clusterid
0.1833333333;-1;0.1;0;0;0;0.1166666667;0;0;-1;0;0;0;0;0;-1;0;0;0.15;0;0;0;0;-1;0;-1;0;0;0;0.1;0.1666666667;0;0;0;0;-1;0.1833333333;48.16181;11.58639;1519829449098;15
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16182;11.58639;1519829449806;4
0;-1;0;0;0;0;0;0.1333333333;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0.3166666667;0;0;0;-1;0;48.16182;11.58639;1519829450263;8
0;-1;0;0;0;0;0.2;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0.2833333333;0;0;0;-1;0;48.16183;11.58639;1519829450954;8
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0.1166666667;0;0;0;0.35;0;0;0;-1;0;48.16185;11.5864;1519829452731;8
0;-1;0;0;0;0;0.1833333333;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0.1333333333;0.2666666667;0;0;0;-1;0;48.16186;11.5864;1519829453274;8
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0.2166666667;0;0;0;0;-1;0;48.16186;11.5864;1519829453891;12
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.1666666667;-1;0;-1;0;0;0;0;0.1333333333;0;0;0;0;-1;0;48.16188;11.58641;1519829455040;12
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.1166666667;-1;0;-1;0;0;0;0;0.15;0;0;0;0;-1;0;48.16188;11.58641;1519829455605;12
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16189;11.58641;1519829456215;4
0;-1;0;0;0;0;0.1166666667;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.1;-1;0;-1;0;0;0;0;0.15;0;0;0;0;-1;0;48.16189;11.58641;1519829456732;12
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.1166666667;-1;0;-1;0;0;0;0;0.25;0;0;0;0;-1;0;48.1619;11.58642;1519829457199;12
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0.15;0.25;-1;0;-1;0;0;0;0;0.1166666667;0;0;0;0;-1;0;48.1619;11.58642;1519829457874;3
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0.1;0.25;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16191;11.58642;1519829458480;13
0;-1;0;0;0;0;0.1833333333;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.3166666667;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16191;11.58642;1519829459085;13
0;-1;0;0;0;0;0.1;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0.1833333333;0.2666666667;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16192;11.58642;1519829459644;3
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16193;11.58643;1519829460178;4
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.4;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16193;11.58643;1519829460762;13
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0.2166666667;0.3166666667;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16194;11.58643;1519829461305;3
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.25;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16194;11.58643;1519829461941;13
0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0.2666666667;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;48.16195;11.58643;1519829462460;13
